,Assortativity,Transitivity,Av. shortest p.,Complexity Coef,1m Degree,2m Degree,3m Degree,4m Degree,H Degree,1m L. clustering,2m L. clustering,3m L. clustering,4m L. clustering,H L. clustering,1m Betweenness,2m Betweenness,3m Betweenness,4m Betweenness,H Betweenness,1m Closeness,2m Closeness,3m Closeness,4m Closeness,H Closeness,1m Comm,2m Comm,3m Comm,4m Comm,H Comm,1m k-core,2m k-core,3m k-core,4m k-core,H k-core,1m PageRank,2m PageRank,3m PageRank,4m PageRank,H PageRank,1m Eigenvector,2m Eigenvector,3m Eigenvector,4m Eigenvector,H Eigenvector,len,method,net id,Component0,Component1,Component2
0,-0.14456762902300432,0.04089669797031203,3.2966834170854273,9.335858585858587,3.96,36.97,879.96,31386.13,0.7194116335654155,0.10125953810551332,0.08090332810617948,0.07667413602344808,0.07552155375477336,0.2644988421806329,0.011599411197401155,0.00138031093036883,0.000371447342369454,0.00011887235130230145,0.051608745777994854,0.3085628200409162,0.0969463287868765,0.031049987038729944,0.010151530576137158,0.3374986039784291,0.028891129556791607,0.0061258145204068255,0.003230384382116609,0.002078925713036947,0.10215857987736113,2.0,4.0,8.0,16.0,0.0,0.005,4.998281969991693e-05,1.2001961637672983e-06,4.528951915762466e-08,0.0,0.04511739994599835,0.005,0.0012610637548061787,0.0004933202077945392,0.14803543398508917,200,Original,0,-1.6324741343159606,0.1000460442491877,0.7919060294417589
1,-0.9234308853303882,0.0,2.7421052631578946,4.947368421052632,1.9,9.4,75.1,661.0,0.2250454129260502,0.0,0.0,0.0,0.0,0.0,0.09678362573099415,0.06277658082828905,0.040919183210468515,0.026793458380383828,0.2250454129260502,0.37278237315973184,0.14300115541071842,0.05682448243595316,0.023515007955531953,0.18358022428449897,0.12608165883619846,0.0668310794642187,0.04395968016768256,0.029321781018440622,0.18358022428449897,1.0,1.0,1.0,1.0,0.0,0.049999999999999975,0.005869779283044248,0.001128413849546249,0.00024341782576457822,0.14118174150460758,0.19561601681100804,0.04999999999999995,0.017103756896812858,0.007119909445793523,0.2250454129260502,20,SB,0,1.6938382601233695,0.8434040328043386,0.07400936590455959
2,-0.4728682170542633,0.0,6.252631578947368,2.1052631578947367,1.9,4.0,9.1,22.0,0.4072105587434522,0.0,0.0,0.0,0.0,0.0,0.2918128654970761,0.12671591258848874,0.05836579696336812,0.027858710327336462,0.7309649325577395,0.16714871492689024,0.029082614095203917,0.0052398736878430194,0.0009721546466578077,0.24421905028821553,0.2967927921304649,0.12956412281425225,0.06026907799296505,0.029048587561116408,0.7196027434825865,1.0,1.0,1.0,1.0,0.0,0.049999999999999996,0.0027163874009258973,0.00015866718250614825,9.8665882034036e-06,0.0,0.17876648549734622,0.05,0.016313956817244332,0.005795585669903832,0.6385229941014446,20,RWS,0,2.24389276571325,-0.38526852839131626,-0.6547853117784934
3,-0.41530054644808684,0.0,4.068421052631579,2.5714285714285716,2.1,5.4,16.5,58.2,0.531606124668106,0.0,0.0,0.0,0.0,0.0,0.17046783625730993,0.061319722307718615,0.025783501936218294,0.011497735438839335,0.5952071775579326,0.2559702228382509,0.06803628932891728,0.018711265770817328,0.005303905776977208,0.38498663019099544,0.18470327331274375,0.06612079651790086,0.02812313914135185,0.0127805991079947,0.649537680376345,1.45,2.35,4.15,7.75,0.2988548895792612,0.04999999999999999,0.0029189960353476273,0.0001985910106225082,1.5596787783973984e-05,0.0862140747587937,0.1784803146869051,0.05000000000000001,0.016857069642764646,0.00633960198575328,0.6400261192031526,20,IRWS,0,1.165986097353014,-0.6552096027906967,-0.02950845921359848
4,0.046594982078852154,0.0,4.168421052631579,2.263157894736842,1.9,4.3,11.2,32.5,0.5042683642033458,0.0,0.0,0.0,0.0,0.0,0.17602339181286547,0.0704524469067405,0.03599238112151667,0.020910110926652226,0.619152368954807,0.2527699286434545,0.06734422998777033,0.01887728215278744,0.0055465044430989905,0.46343299021718715,0.18486224178452665,0.07461321712367809,0.03871917268006482,0.022835583840190146,0.6873668041590877,1.0,1.0,1.0,1.0,0.0,0.04999999999999999,0.0028123352623159762,0.00017454322988258555,1.1727552458134496e-05,0.0,0.17834416388504482,0.04999999999999999,0.017940783145784345,0.007383804996423726,0.6701291187695506,20,TR,0,1.8027502001853173,-0.2349605117515497,-0.40677418009156274
5,-0.469072164948453,0.0,4.905263157894737,2.368421052631579,1.9,4.5,12.7,40.5,0.51835200693763,0.0,0.0,0.0,0.0,0.0,0.2169590643274854,0.0981737970657638,0.04858262981302188,0.02504388735847979,0.6688670047696206,0.21227184181058928,0.04685161410793159,0.010721426446766207,0.0025340305692298,0.29228525323862886,0.22505155834876578,0.10152612356044444,0.050814576391406796,0.02650489587292688,0.6949864366769574,1.0,1.0,1.0,1.0,0.0,0.05000000000000001,0.002966588855794418,0.00020388848223851897,1.5644843700829664e-05,0.0,0.17714963382973176,0.05,0.0176366970253822,0.006997253462643009,0.6212853087119076,20,MHRW,0,2.0227712051574085,-0.23841504896548818,-0.5084373997519295
6,-0.7702811244979918,0.0,2.668421052631579,4.68421052631579,1.9,8.9,67.9,596.9,0.25514841249244835,0.0,0.0,0.0,0.0,0.0,0.09269005847953216,0.059158373516637594,0.03879843270613979,0.02601144132302412,0.25514841249244835,0.38478437562405193,0.15308945588212491,0.06343563058609286,0.02754174212798029,0.2250454129260502,0.12195650990430344,0.0639105904450589,0.042616578893079377,0.02935319505473946,0.25514841249244835,1.0,1.0,1.0,1.0,0.0,0.05,0.0055502344495600995,0.0010113347353207266,0.00021596913028582775,0.22504541292605024,0.181436368568087,0.05000000000000001,0.020223804964412433,0.010575717979666784,0.4787787469514016,20,SB,0,1.8670298066443904,0.7431138173574164,0.20202003646134967
7,-0.2765957446808515,0.0,4.294736842105263,2.25,2.0,4.5,11.3,31.5,0.4264518188325467,0.0,0.0,0.0,0.0,0.0,0.1830409356725146,0.06344516261413766,0.029441557566270704,0.01658728527971908,0.6557606794909817,0.24369157038354294,0.06217638037819797,0.016586228373987204,0.004612481757322643,0.4126972515042213,0.1922248360785793,0.06737661382273488,0.03151202262692966,0.01783841900100799,0.6879966188144804,1.45,2.35,4.15,7.75,0.2988548895792612,0.05,0.002716870586094854,0.00016000547688939493,1.0166724264399223e-05,0.0,0.18419433572756366,0.050000000000000024,0.01747625204410577,0.0071896585651030145,0.5859366274865182,20,RWS,0,1.2476890990012488,-0.7229553195400293,-0.11998039229769403
8,-0.053333333333333136,0.14285714285714285,2.8157894736842106,3.333333333333333,2.7,9.0,37.5,189.0,0.5030062502034156,0.15476190476190474,0.11156462585034013,0.10282096965770435,0.10077571845064556,0.4264518188325467,0.10087719298245612,0.026679054143915127,0.011497553414357028,0.006080946662875464,0.44867574738500343,0.36843672276828016,0.14098617807320526,0.056072888287379274,0.023181770511070912,0.4819533295350033,0.1423729146770676,0.043052716670031924,0.020285331793321055,0.011824890218164382,0.5234185181765546,1.95,3.85,7.65,15.25,0.0862140747587937,0.04999999999999999,0.002890199958346369,0.00019704103872999226,1.5746583687878502e-05,0.0862140747587937,0.18762918063492337,0.05,0.01694467290908635,0.006743155789512291,0.6145365019512083,20,IRWS,0,0.4247871657937928,-0.9249975553797021,1.4683131871496586
9,-0.3197516492045016,0.0,2.9210526315789473,3.4210526315789473,1.9,6.5,35.8,244.7,0.4787787469514016,0.0,0.0,0.0,0.0,0.0,0.1067251461988304,0.055345234431106984,0.03787795155044456,0.028033141387398368,0.4787787469514016,0.3566272931252742,0.13319550228731422,0.052348573349501326,0.02172001901770616,0.40237670525556934,0.12845229544605583,0.06102532539851559,0.041515495638576615,0.031113338932454365,0.4787787469514016,1.0,1.0,1.0,1.0,0.0,0.049999999999999996,0.004005409093135114,0.0004950175575298185,7.718607099586102e-05,0.14118174150460758,0.1787499470333058,0.05,0.019967581656868787,0.01001490657589721,0.5890493693884088,20,TR,0,1.8775758430885874,0.3126413973311882,0.029057797035794638
