iter	Logloss
0	0.6472962972
1	0.6047691432
2	0.5639685132
3	0.5289523978
4	0.5017538942
5	0.4661814267
6	0.4352880962
7	0.4130219207
8	0.383637369
9	0.3565467276
10	0.3366278138
11	0.3197942036
12	0.2990190658
13	0.2845122713
14	0.2655843455
15	0.2500403223
16	0.2341045023
17	0.2186650697
18	0.2049111902
19	0.1918021235
20	0.1817435773
21	0.1715555261
22	0.1611914509
23	0.1524572225
24	0.1426421911
25	0.136481846
26	0.1293255603
27	0.1225682731
28	0.1166217831
29	0.1108079872
30	0.1055819046
31	0.1000778682
32	0.09558020409
33	0.09060528227
34	0.08662920881
35	0.08251485593
36	0.07950085112
37	0.07612508554
38	0.07338173601
39	0.07024271232
40	0.06714290474
41	0.06445380809
42	0.06216499759
43	0.05952939269
44	0.05735998904
45	0.05511679574
46	0.05312749547
47	0.05147612793
48	0.04959278105
49	0.0480242126
50	0.04639608985
51	0.04497256005
52	0.04343374231
53	0.0417990765
54	0.04058272465
55	0.03957238575
56	0.03857173873
57	0.03730551206
58	0.03607582949
59	0.0350398364
60	0.03448391273
61	0.03360275684
62	0.03278326328
63	0.0317618663
64	0.03094419093
65	0.03009901133
66	0.02950490723
67	0.02864465608
68	0.02815919512
69	0.02764721953
70	0.02696665912
71	0.02613799487
72	0.02548198887
73	0.02483060304
74	0.02428996473
75	0.02362950359
76	0.02284315957
77	0.02244417114
78	0.02204504247
79	0.02164970035
80	0.02116879669
81	0.02082513658
82	0.02047961571
83	0.02011521056
84	0.01980410506
85	0.0194403415
86	0.01918768148
87	0.01891976066
88	0.01874387225
89	0.01836446828
90	0.01802850396
91	0.0178217314
92	0.01750760226
93	0.01713307131
94	0.01683823154
95	0.01667200674
96	0.01659437822
97	0.01648016341
98	0.01632747708
99	0.01614645604
100	0.01589298979
101	0.0156989445
102	0.01545176808
103	0.01532129777
104	0.01515176131
105	0.0150191752
106	0.01474861676
107	0.01456002505
108	0.01431183855
109	0.01415935657
110	0.01400463353
111	0.01394205936
112	0.01386961546
113	0.01368082872
114	0.01357717719
115	0.01348760459
116	0.01338755038
117	0.01321464068
118	0.01304690882
119	0.01297457467
120	0.01281224378
121	0.01263003597
122	0.01256039648
123	0.01242391781
124	0.01230227038
125	0.012246236
126	0.01211222762
127	0.0119824072
128	0.01185321384
129	0.01178610715
130	0.01166623406
