train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,0.4426798570684225,0.7705747199999999
BA,30,BA,120,0.4746351243545046,0.66104656
BA,30,ER,30,0.4605463186698884,0.025322400000000078
BA,30,ER,75,0.4816243539069627,0.0004945600000001438
BA,30,ER,120,0.4721777820467026,0.01208639999999983
BA,30,SW,30,0.43722898265488985,0.003058879999999986
BA,30,SW,75,0.4553383115772671,0.04486272000000002
BA,30,SW,120,0.47903924541283494,0.010281120000000032
BA,30,Maier,30,0.46207484829939305,0.0853388799999999
BA,30,Maier,75,0.4668246706167656,0.18198128000000002
BA,30,Maier,120,0.46247259824628784,0.20662928000000003
BA,75,BA,30,0.8949979793453078,0.4041342400000001
BA,75,BA,120,0.8942811335115637,0.8624670399999999
BA,75,ER,30,0.9122065953055247,0.01246400000000003
BA,75,ER,75,0.9040973007677378,0.0014916799999999952
BA,75,ER,120,0.8984588984588984,0.04068815999999997
BA,75,SW,30,0.9052823114689161,0.01855216000000004
BA,75,SW,75,0.8921078971073966,0.043968640000000114
BA,75,SW,120,0.8955570013011711,0.06962351999999994
BA,75,Maier,30,0.8981504537613443,0.03883983999999985
BA,75,Maier,75,0.8869098869098868,0.5685127999999999
BA,75,Maier,120,0.8914630926713363,0.32923184000000005
BA,120,BA,30,0.9923429693718775,0.3130260800000002
BA,120,BA,75,0.9917697037093336,0.7620167999999998
BA,120,ER,30,0.9889101334606007,0.02099055999999999
BA,120,ER,75,0.9879074421513445,0.029511999999999983
BA,120,ER,120,0.9925036326780012,0.0401065599999999
BA,120,SW,30,0.9930140000000001,0.02080271999999983
BA,120,SW,75,0.9901910774511804,0.03955392000000013
BA,120,SW,120,0.9922976032430302,0.05097007999999992
BA,120,Maier,30,0.9914403223031714,0.04319599999999979
BA,120,Maier,75,0.9924159696638786,0.4033756800000001
BA,120,Maier,120,0.9877782178059396,0.8149175999999998
ER,30,BA,30,0.0003120012480049006,0.10918128000000005
ER,30,BA,75,0.027867445879134145,0.18080543999999987
ER,30,BA,120,0.018639167752509733,0.04479999999999995
ER,30,ER,75,0.026851671291782342,0.00270207999999994
ER,30,ER,120,0.01611015759088774,0.001758240000000022
ER,30,SW,30,0.03464469759018196,0.02044015999999993
ER,30,SW,75,0.006918084118136991,0.01184559999999979
ER,30,SW,120,0.010965800908680823,0.012318880000000032
ER,30,Maier,30,0.015799142192279625,0.03202079999999974
ER,30,Maier,75,0.00782694706059428,0.14653072
ER,30,Maier,120,0.004944177990407805,0.00039984000000004016
ER,75,BA,30,0.06436615394154321,0.07919919999999991
ER,75,BA,75,0.014814199950195839,0.005023519999999948
ER,75,BA,120,0.0330318245883785,0.6223512
ER,75,ER,30,0.0027690027690028263,0.00015375999999989176
ER,75,ER,120,0.016589812900832168,0.029398079999999993
ER,75,SW,30,0.016237589684943377,0.0012132799999999833
ER,75,SW,75,0.011062099558895921,0.012559839999999989
ER,75,SW,120,0.01541879969066362,0.0012288000000000299
ER,75,Maier,30,0.011651138151924978,0.0877033599999999
ER,75,Maier,75,0.015588981010751235,0.11632255999999996
ER,75,Maier,120,0.008287132594121394,0.0019184000000000978
ER,120,BA,30,0.0424753822784405,0.13558959999999987
ER,120,BA,75,0.025005600806516037,0.3290764799999999
ER,120,BA,120,0.09737078186460568,0.0005030399999998991
ER,120,ER,30,0.0322990862166086,0.009020320000000082
ER,120,ER,75,0.02074902074902063,0.02608336
ER,120,SW,30,0.010138930150813463,0.01623215999999994
ER,120,SW,75,0.06493258439325955,0.0046415999999999125
ER,120,SW,120,0.04210969796981989,0.010460160000000052
ER,120,Maier,30,0.0051279537013319,0.0037462399999999008
ER,120,Maier,75,0.04011496563331596,0.3185086399999999
ER,120,Maier,120,0.04181866909870546,0.5496670400000001
SW,30,BA,30,0.005786088778048759,0.10821119999999995
SW,30,BA,75,0.01659759751351042,0.0982214400000001
SW,30,BA,120,0.01602999999999999,0.49490992
SW,30,ER,30,0.0015447476578662744,0.009616159999999985
SW,30,ER,75,0.012132729864219538,0.005185760000000039
SW,30,ER,120,0.04818177090833453,0.023148640000000054
SW,30,SW,75,0.0030603060306031438,0.007911360000000034
SW,30,SW,120,0.050742110110919,0.020728639999999965
SW,30,Maier,30,0.0052432569195890455,0.05990592000000006
SW,30,Maier,75,0.03509756156098509,0.26078608000000014
SW,30,Maier,120,0.0038465539037619845,0.2877052800000002
SW,75,BA,30,0.019480246735791074,0.09986799999999985
SW,75,BA,75,0.010411665386338864,0.40225743999999986
SW,75,BA,120,0.023741653364059312,0.2823875199999999
SW,75,ER,30,0.009274374239805372,0.02359599999999984
SW,75,ER,75,0.042445042445042436,0.041083199999999875
SW,75,ER,120,0.04211011660970709,0.029487039999999798
SW,75,SW,30,0.015201136810231386,0.017844320000000025
SW,75,SW,120,0.009694009694009686,0.01056016000000004
SW,75,Maier,30,0.021067021067021074,0.044735200000000086
SW,75,Maier,75,0.07108993362699101,0.0009608000000000949
SW,75,Maier,120,0.06390306390306388,0.23263776000000003
SW,120,BA,30,0.05879876312083976,0.20265200000000005
SW,120,BA,75,0.09262733833672043,0.42131792
SW,120,BA,120,0.03884053621448569,0.2940328
SW,120,ER,30,0.004393999999999787,0.010895039999999856
SW,120,ER,75,0.0732486369509302,0.01600015999999993
SW,120,ER,120,0.06388437398414637,0.04113136000000006
SW,120,SW,30,0.12204420442044217,0.007519040000000032
SW,120,SW,75,0.07876224327645476,0.01849727999999984
SW,120,Maier,30,0.04410816129990347,0.07487968
SW,120,Maier,75,0.05295847662628961,0.08815792
SW,120,Maier,120,0.0762720762720761,0.27615056000000004
Maier,30,BA,30,0.37158337700157196,0.35762015999999996
Maier,30,BA,75,0.3603053725507077,0.38332416
Maier,30,BA,120,0.4006374771347332,0.32095072
Maier,30,ER,30,0.3427634842157474,0.005862400000000045
Maier,30,ER,75,0.380931380931381,0.045390239999999915
Maier,30,ER,120,0.36088996161405107,0.006578880000000176
Maier,30,SW,30,0.38592588589886745,0.007411199999999951
Maier,30,SW,75,0.32171452989229143,0.005751359999999983
Maier,30,SW,120,0.3835541368661899,0.022765119999999972
Maier,30,Maier,75,0.3568468381976446,0.32295951999999994
Maier,30,Maier,120,0.3297166244583938,0.1418236799999999
Maier,75,BA,30,0.7094457094457094,0.18020128000000002
Maier,75,BA,75,0.7190569764244104,0.7840892799999999
Maier,75,BA,120,0.7095493859444737,0.16692496
Maier,75,ER,30,0.7095829582958295,0.003299680000000027
Maier,75,ER,75,0.7164216870241302,0.028092959999999945
Maier,75,ER,120,0.7168591723007947,0.03460400000000008
Maier,75,SW,30,0.7078173703563331,0.012502879999999994
Maier,75,SW,75,0.6988682008765865,0.04621279999999994
Maier,75,SW,120,0.736115403503192,0.018067840000000057
Maier,75,Maier,30,0.7175621605458669,0.25417327999999983
Maier,75,Maier,120,0.7120958023950601,0.39572447999999993
Maier,120,BA,30,0.9036651277783998,0.25122032000000005
Maier,120,BA,75,0.9004029004029002,0.48598719999999984
Maier,120,BA,120,0.8995050932154525,0.9850308799999998
Maier,120,ER,30,0.9007943295612433,0.018395039999999918
Maier,120,ER,75,0.9064825334848217,0.013003359999999908
Maier,120,ER,120,0.9051645164516451,0.018516640000000084
Maier,120,SW,30,0.8964428964428965,0.015791840000000112
Maier,120,SW,75,0.9050979262672811,0.002874080000000001
Maier,120,SW,120,0.9093535496567946,0.02180752000000008
Maier,120,Maier,30,0.8955969582585921,0.24894591999999993
Maier,120,Maier,75,0.9086545240716792,0.4091296
